year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2020,France,FRA,Kazakhstan,KAZ,8323582.365
2020,France,FRA,Jordan,JOR,7618510.624
2020,France,FRA,Kenya,KEN,243060.682
2020,France,FRA,Rep. of Korea,KOR,263670504.677
2020,France,FRA,Kuwait,KWT,24481220.451
2020,France,FRA,Kyrgyzstan,KGZ,319918.001
2020,France,FRA,Lao People's Dem. Rep.,LAO,448097.17
2020,France,FRA,Lebanon,LBN,11624473.934
2020,France,FRA,Latvia,LVA,10669479.249
2020,France,FRA,Libya,LBY,4252267.356
2020,France,FRA,Lithuania,LTU,12225556.18
2020,France,FRA,Luxembourg,LUX,16544933.035
2020,France,FRA,"China, Macao SAR",MAC,2253384.585
2020,France,FRA,Madagascar,MDG,1503157.502
2020,France,FRA,Malaysia,MYS,11375427.658
2020,France,FRA,Maldives,MDV,424540.092
2020,France,FRA,Mali,MLI,1293760.692
2020,France,FRA,Malta,MLT,6340460.973
2020,France,FRA,Mauritania,MRT,1263131.024
2020,France,FRA,Mauritius,MUS,7455022.326
2020,France,FRA,Mexico,MEX,70885130.945
2020,France,FRA,"Other Asia, nes",S19,79522933.135
2020,France,FRA,Mongolia,MNG,1047239.193
2020,France,FRA,Rep. of Moldova,MDA,1282744.071
2020,France,FRA,Montenegro,MNE,170946.815
2020,France,FRA,Morocco,MAR,36872103.649
2020,France,FRA,Mozambique,MOZ,230969.335
2020,France,FRA,Oman,OMN,2838899.155
2020,France,FRA,Nepal,NPL,30683.98
2020,France,FRA,Netherlands,NLD,96562785.627
2020,France,FRA,Curaçao,CUW,671718.721
2020,France,FRA,Aruba,ABW,172641.19
2020,France,FRA,Saint Maarten,SXM,215313.139
2020,France,FRA,New Caledonia,NCL,6389651.16
2020,France,FRA,Vanuatu,VUT,37439.869
2020,France,FRA,New Zealand,NZL,5294326.941
2020,France,FRA,Nicaragua,NIC,134572.175
2020,France,FRA,Niger,NER,170824.41
2020,France,FRA,Nigeria,NGA,6544270.385
2020,France,FRA,"Other Africa, nes",F19,19763.619
2020,France,FRA,Norway,NOR,17888742.095
2020,France,FRA,Pakistan,PAK,654696.446
2020,France,FRA,Panama,PAN,11580489.585
2020,France,FRA,Papua New Guinea,PNG,13666.853
2020,France,FRA,Paraguay,PRY,1407984.06
2020,France,FRA,Peru,PER,5553155.669
2020,France,FRA,Philippines,PHL,4661288.705
2020,France,FRA,Poland,POL,143251138.7
2020,France,FRA,Portugal,PRT,57804270.797
2020,France,FRA,Qatar,QAT,20124230.973
2020,France,FRA,Romania,ROU,39723738.299
2020,France,FRA,Russian Federation,RUS,192378336.313
2020,France,FRA,Rwanda,RWA,44039.201
2020,France,FRA,Saint Barthélemy,BLM,1235017.058
2020,France,FRA,Saint Lucia,LCA,135.055
2020,France,FRA,Saint Pierre and Miquelon,SPM,128554.205
2020,France,FRA,San Marino,SMR,179307.497
2020,France,FRA,Sao Tome and Principe,STP,2681.848
2020,France,FRA,Saudi Arabia,SAU,52297674.501
2020,France,FRA,Senegal,SEN,5793357.268
2020,France,FRA,Serbia,SRB,9338701.796
2020,France,FRA,Seychelles,SYC,234328.174
